,Randomization - 1,Randomization - 2,Randomization - 3,Randomization - 4,Randomization - 5,Randomization - 6,Randomization - 7,Randomization - 8,Randomization - 9,Randomization - 10,Randomization - 11,Randomization - 12,Randomization - 13,Randomization - 14,Randomization - 15
TCGA-02-0001,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-02-0003,Train,Train,Test,Train,Test,Test,Train,Train,Test,Train,Test,Train,Test,Train,Train
TCGA-02-0006,Test,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train
TCGA-02-0007,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train
TCGA-02-0009,Test,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-02-0010,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train
TCGA-02-0011,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-02-0014,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-02-0015,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-02-0016,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-02-0021,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train
TCGA-02-0023,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train
TCGA-02-0024,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train
TCGA-02-0025,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-02-0026,Train,Train,Test,Test,Test,Train,Test,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-02-0027,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train
TCGA-02-0033,Test,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train
TCGA-02-0034,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-02-0037,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Test,Train,Train
TCGA-02-0038,Train,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Test,Train,Train,Test
TCGA-02-0048,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train
TCGA-02-0052,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test
TCGA-02-0054,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Test,Train,Train
TCGA-02-0058,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-02-0068,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-02-0069,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-02-0070,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Test,Train
TCGA-02-0071,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-02-0074,Test,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-02-0075,Train,Train,Train,Train,Test,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train
TCGA-02-0079,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test
TCGA-02-0085,Test,Test,Test,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Test
TCGA-02-0086,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train,Test
TCGA-02-0099,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test,Test,Train
TCGA-02-0115,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-02-0258,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-02-0266,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-02-0269,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-02-0281,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test
TCGA-02-0285,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train
TCGA-02-0289,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-02-0317,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Test,Train
TCGA-02-0321,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Test,Test,Test,Test,Train
TCGA-02-0325,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train
TCGA-02-0326,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-02-0330,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-02-0332,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-02-0333,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train
TCGA-02-0337,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-02-0338,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-02-0339,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test
TCGA-02-0422,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-02-0430,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-02-0432,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train
TCGA-02-0440,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test
TCGA-02-0446,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Test,Test,Train,Train
TCGA-02-0451,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0122,Test,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Train,Train
TCGA-06-0124,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test
TCGA-06-0125,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0126,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Test
TCGA-06-0127,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train,Test
TCGA-06-0128,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0129,Train,Test,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0130,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0133,Train,Test,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0137,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Test,Train,Test
TCGA-06-0138,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0139,Train,Train,Test,Test,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-06-0141,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0143,Test,Test,Train,Train,Train,Test,Test,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-06-0145,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-06-0147,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train
TCGA-06-0148,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test
TCGA-06-0152,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-06-0154,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test
TCGA-06-0156,Train,Test,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-06-0157,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-06-0158,Train,Train,Test,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-06-0166,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0168,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0169,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0171,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0173,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0174,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test
TCGA-06-0176,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-06-0178,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0184,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-06-0185,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test,Test,Test
TCGA-06-0187,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-06-0188,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-06-0189,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-06-0190,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-06-0192,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0195,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test
TCGA-06-0197,Test,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train
TCGA-06-0201,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0206,Test,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train,Test
TCGA-06-0208,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0209,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train
TCGA-06-0210,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0211,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test
TCGA-06-0213,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-06-0214,Train,Test,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Test,Test,Train
TCGA-06-0216,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train
TCGA-06-0219,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0221,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train
TCGA-06-0237,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Test,Test,Train,Test
TCGA-06-0238,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0241,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0644,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-06-0645,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-06-0646,Test,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-06-0648,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-06-0649,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test
TCGA-06-0686,Test,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-06-0743,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-06-0744,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0745,Test,Train,Train,Test,Test,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-06-0747,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-0749,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train
TCGA-06-0750,Train,Train,Test,Test,Train,Train,Test,Test,Test,Train,Test,Train,Train,Test,Test
TCGA-06-0875,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-06-0876,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-06-0878,Train,Test,Test,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train
TCGA-06-0879,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train
TCGA-06-0882,Test,Test,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Test
TCGA-06-1084,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test
TCGA-06-1086,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Test,Train,Train,Test,Train
TCGA-06-1087,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-06-1800,Train,Test,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-1801,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-06-1805,Train,Test,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-06-5408,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-06-5410,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-06-5411,Test,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test
TCGA-06-5412,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-06-5413,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-06-5414,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test
TCGA-06-5415,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train
TCGA-06-5416,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train
TCGA-06-5417,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test
TCGA-06-5418,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train
TCGA-06-5856,Train,Train,Train,Test,Test,Test,Train,Test,Train,Train,Train,Train,Train,Test,Test
TCGA-06-5858,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train
TCGA-06-5859,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train
TCGA-06-6388,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-06-6390,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Test,Train,Test,Train,Train
TCGA-06-6391,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train
TCGA-08-0244,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0245,Test,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0246,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-08-0344,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-08-0345,Train,Train,Test,Train,Train,Test,Test,Train,Test,Train,Test,Train,Train,Test,Train
TCGA-08-0346,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0347,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0348,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-08-0349,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-08-0350,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train
TCGA-08-0351,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0352,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-08-0353,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train
TCGA-08-0354,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0355,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0356,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train
TCGA-08-0357,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0358,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train
TCGA-08-0359,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-08-0375,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-08-0380,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0385,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-08-0386,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0389,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0390,Train,Test,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0392,Train,Train,Test,Train,Test,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train
TCGA-08-0509,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Test
TCGA-08-0510,Train,Test,Test,Train,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-08-0512,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train
TCGA-08-0514,Test,Test,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train,Train
TCGA-08-0516,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-08-0517,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test
TCGA-08-0518,Train,Train,Test,Test,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train
TCGA-08-0520,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0521,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0524,Test,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Test,Train
TCGA-08-0525,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Test,Test
TCGA-08-0529,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-08-0531,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-12-0615,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train
TCGA-12-0616,Train,Train,Train,Train,Test,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train
TCGA-12-0618,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train
TCGA-12-0619,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train
TCGA-12-0620,Test,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train
TCGA-12-0654,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Test,Train,Test
TCGA-12-0656,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test
TCGA-12-0657,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0662,Train,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0670,Train,Test,Test,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Test
TCGA-12-0688,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-12-0691,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0692,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Test,Train
TCGA-12-0703,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Test,Train,Train,Train,Train
TCGA-12-0707,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-12-0769,Train,Test,Train,Train,Test,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train
TCGA-12-0772,Test,Train,Test,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0773,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train,Train,Test
TCGA-12-0775,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0776,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-12-0778,Test,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0780,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0818,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0819,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Test,Train,Test,Test,Train
TCGA-12-0820,Train,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
